Element,rd,dFillingIdealized,ElectricalConductivity
Sc,1.24,0.2,1.80E+06
Ti,1.08,0.3,2.50E+06
V,0.98,0.4,5.00E+06
Cr,0.9,0.5,7.90E+06
Mn,0.86,0.6,6.20E+05
Fe,0.8,0.7,1.00E+07
Co,0.76,0.8,1.70E+07
Ni,0.71,0.9,1.40E+07
Cu,0.67,1,5.90E+07
Y,1.58,0.2,1.80E+06
Zr,1.41,0.3,2.40E+06
Nb,1.28,0.4,6.70E+06
Mo,1.2,0.5,2.00E+07
Ru,1.05,0.7,5.00E+06
Rh,0.99,0.8,1.40E+07
Pd,0.94,0.9,2.30E+07
Ag,0.89,1,1.00E+07
Hf,1.44,0.3,6.20E+07
Ta,1.34,0.4,3.30E+06
Tc,1.11,0.6,7.70E+06
W,1.27,0.5,2.00E+07
Re,1.2,0.6,5.60E+06
Os,1.13,0.7,1.20E+07
Ir,1.08,0.8,2.10E+07
Pt,1.04,0.9,9.40E+06
Au,1.01,1,4.50E+07